name,Creature Level,Source,Perception,Senses,Rarity,Alignment,Size,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Trait 7,Language 1,Language 2,Language 3,Language 4,Language 5,Language 6,Language 7,Language 8,Language 9,Language 10,Language 11,Language 12,Language 13,Language 14,Language 15,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Acrobatics,Arcana,Athletics,Crafting,Deception,Diplomacy,Intimidation,Medicine,Nature,Occultism,Performance,Religion,Society,Stealth,Survival,Thievery,HP,AC,Fort,Ref,Will,Immunities,Resistances,Weaknesses,Speed,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Attack 7,Spells 1,Spells 2,Spells 3,Reaction 1,Reaction 2,Reaction 3
STORM LORD,9,Bestiary,18,Darkvision,Common,Neutral,Large,Air,Elemental,,,,,,Auran,,,,,,,,,,,,,,,4,7,4,-1,3,0,20,,,,,,,,,,,,,18,,,120,30,15,20,16,"bleed, paralyzed, poison, sleep",,,fly 75 feet; swiftness,"Melee gust +20 (finesse, reach 15 feet), Damage 2d12+10 bludgeoning plus Push 5 feet","Ranged lightning lash +20 (range increment 50 feet), Damage 2d12+4 electricity",,,,,,,,,,,
MELODY ON THE WIND,10,Bestiary 2,21,Darkvision,Common,Neutral,Huge,Air,Elemental,,,,,,Auran,,,,,,,,,,,,,,,4,6,2,2,5,6,22,,,,,,,,,,22,,,22,,,170,30,16,22,19,"bleed, paralyzed, poison, sleep",,,fly 100 feet; swiftness,"Melee wind gust +23 (agile, finesse), Damage 2d10+10 bludgeoning plus Push","Ranged solid refrain +23 (range increment 70 feet), Damage 2d8+10 sonic",,,,,,,,,"Hostile Duet Trigger A hostile creature within 30 feet creates an effect with the auditory trait that provides bonuses to itself or its allies; Effect The melody on the wind recreates the auditory effect, gaining the bonuses for itself and its allies as long as the original effect persists.","Retune Trigger The melody on the wind is targeted by a spell with the auditory trait; Effect The melody on the wind attempts to counteract the spell. If it succeeds, the spell effect is caught in a blast of wind that sweeps it back to its origin, affecting the caster. Targets of the triggering effect other than the melody on the wind are still affected normally.",
ELEMENTAL HURRICANE,11,Bestiary,20,Darkvision,Common,Neutral,Huge,Air,Elemental,,,,,,Auran,,,,,,,,,,,,,,,6,7,4,0,3,0,24,,,,,,,,,,,,,22,,,140,32,19,24,18,"bleed, paralyzed, poison, sleep",,,fly 100 feet; swiftness,"Melee gust +24 (finesse, reach 20 feet), Damage 2d10+12 bludgeoning plus Push 10 feet","Ranged lightning lash +24 (range increment 75 feet), Damage 2d12+6 electricity",,,,,,,,,,,
LIVING BOULDER,2,Bestiary 2,6,"Darkvision, Tremorsense 30 feet",Common,Neutral,Small,Earth,Elemental,,,,,,,,,,,,,,,,,,,,,4,-1,4,-4,2,-1,,,8,,,,,,,,,,,5,,,36,17,10,5,8,"bleed, paralyzed, poison, sleep",,,"20 feet, burrow 20 feet; earth glide","Melee jaws +10, Damage 1d8+6 piercing",,,,,,,,,,,,
CRYSTAL JACKAL,3,Extinction Curse - 05 - Lord of the Black Sands,9,"crystal sense (imprecise) 60 feet, Darkvision",Common,Neutral,Small,Earth,Elemental,,,,,,,,,,,,,,,,,,,,,4,-1,3,-4,2,-1,,,11,,,,,,,,,,,,9,,44,19,12,6,7,"bleed, paralyzed, poison, sleep",,,"30 feet, burrow 20 feet; earth glide","Melee jaws +11, Damage 1d10+6 piercing plus Knockdown",,,,,,,,,,,,
METALLIC SOD HOUND,3,#1-09: Star-Crossed Voyages,9,"metal sense (imprecise) 60 feet, Darkvision",Common,Neutral,Small,Earth,Elemental,,,,,,,,,,,,,,,,,,,,,4,-1,3,-4,2,-1,,,11,,,,,,,,,,,,9,,44,19,12,6,7,"bleed, paralyzed, poison, sleep",,,"30 feet, burrow 20 feet; earth glide","Melee jaws +11, Damage 1d10+6 piercing plus Knockdown",,,,,,,,,,,,
SOD HOUND,3,Bestiary,9,"crystal sense (imprecise) 60 feet, Darkvision",Common,Neutral,Small,Earth,Elemental,,,,,,,,,,,,,,,,,,,,,4,-1,3,-4,2,-1,,,11,,,,,,,,,,,,9,,44,19,12,6,7,"bleed, paralyzed, poison, sleep",,,"30 feet, burrow 20 feet; earth glide","Melee jaws +11, Damage 1d10+6 piercing plus Knockdown",,,,,,,,,,,,
EARTHEN DESTRIER,4,Bestiary 2,10,"Darkvision, Tremorsense (imprecise) 60 feet",Common,Neutral,Large,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,4,1,4,-1,3,0,,,12,,,,,,,,,,,,,,72,20,14,9,10,"bleed, paralyzed, poison, sleep",,,"50 feet, burrow 30 feet; earth glide","Melee lance arm +14 (deadly d8, reach 10 feet), Damage 2d8+6 piercing and lancing charge","Melee hoof +14, Damage 2d6+6 bludgeoning",,,,,,,,,,,
GREATER METALLIC SOD HOUND,5,#1-09: Star-Crossed Voyages,12,"metal sense (imprecise) 60 feet, Darkvision",Common,Neutral,Small,Earth,Elemental,,,,,,,,,,,,,,,,,,,,,5,-1,4,-4,3,-1,,,14,,,,,,,,,,,,12,,71,22,15,8,9,"bleed, paralyzed, poison, sleep",,,"30 feet, burrow 20 feet; earth glide","Melee jaws +14, Damage 2d10+8 piercing plus Knockdown",,,,,,,,,,,,
LIVING LANDSLIDE,5,Bestiary,12,"Darkvision, Tremorsense (imprecise) 60 feet",Common,Neutral,Medium,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,5,-1,4,-2,1,-1,,,14,,,,,,,,,,,8,,,90,21,15,8,10,"bleed, paralyzed, poison, sleep",,,"25 feet, burrow 25 feet; earth glide","Melee fist +16 (reach 10 feet), Damage 2d8+8 bludgeoning",,,,,,,,,,"Crumble Trigger The living landslide takes damage from a hostile source while atop rock or earth. Effect The living landslide crumbles into the ground, Burrowing down 10 feet. This Burrowing does not trigger reactions. The living landslide canet Crumble again for 1d4 rounds.",,
SAND SENTRY,6,Bestiary 2,14,"Darkvision, Tremorsense (imprecise) 60 feet",Common,Neutral,Medium,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,5,2,4,0,2,1,14,,,,,,,,,,,,,14,,,94,24,16,12,14,"bleed, paralyzed, poison, sleep",,,"25 feet, burrow 50 feet; earth glide","Melee fist +17, Damage 2d8+8 bludgeoning plus blinding sand",,,,,,,,,,,,
XORN,7,Bestiary,15,"Darkvision, Tremorsense (imprecise) 60 feet",Common,Neutral,Medium,Earth,Elemental,,,,,,Common,Terran,,,,,,,,,,,,,,6,0,5,0,2,0,,,17,,,,,,,,,,,11,15,,115,25,18,11,13,"bleed, paralyzed, poison, sleep","cold 5, electricity 5, fire 5",bludgeoning 5,"20 feet, burrow 20 feet; earth glide","Melee jaw +18 (deadly 1d10), Damage 2d10+8 piercing","Melee claw +18 (agile), Damage 2d6+8 slashing",,,,,,,,,,,
GRANITE GLYPTODONT,8,Bestiary 2,17,"Darkvision, Tremorsense (imprecise) 90 feet",Common,Neutral,Large,Earth,Elemental,,,,,,,,,,,,,,,,,,,,,6,1,6,0,5,0,,,18,,,,,,,,,,,,,,145,28,18,13,17,"bleed, paralyzed, poison, sleep",,,"30 feet, burrow 20 feet; earth glide","Melee tail +20 (forceful, reach 10 feet, versatile piercing), Damage 2d12+9 bludgeoning plus calcification",,,,,,,,,,,,
STONE MAULER,9,Bestiary,16,"Darkvision, Tremorsense (imprecise) 80 feet",Common,Neutral,Large,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,6,-1,7,-1,3,-1,,,21,,,,,,,,,,,12,,,180,27,23,15,19,"bleed, paralyzed, poison, sleep",,,"35 feet, burrow 35 feet; earth glide","Melee fist +21 (reach 10 feet), Damage 2d10+10 bludgeoning plus Push 10 feet","Ranged rock +21 (brutal, range increment 80 feet), Damage 2d12+6 bludgeoning",,,,,,,,,,,
ELEMENTAL AVALANCHE,11,Bestiary,20,"Darkvision, Tremorsense (imprecise) 90 feet",Common,Neutral,Huge,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,7,-1,8,0,3,-1,,,24,,,,,,,,,,,14,,,215,32,26,17,21,"bleed, paralyzed, poison, sleep",,,"25 feet, burrow 25 feet; earth glide","Melee fist +24 (reach 20 feet), Damage 2d12+11 bludgeoning","Ranged rock +24 (brutal, range increment 80 feet), Damage 2d12+7 bludgeoning",,,,,,,,,"Crumble Trigger The elemental avalanche takes damage from a hostile source while atop rock or earth. Effect The elemental avalanche crumbles into the ground, Burrowing down 10 feet. This Burrowing does not trigger reactions. The elemental avalanche canet Crumble again for 1d4 rounds.",,
EMBER FOX,2,Bestiary 2,8,Darkvision,Common,Neutral Good,Small,Elemental,Fire,,,,,,Ignan (canet speak any language),,,,,,,,,,,,,,,1,4,2,-2,2,1,8,,5,,,,,,,,,,,8,,,35,18,6,10,8,"bleed, fire, paralyzed, poison, sleep",,cold 5,30 feet,"Melee jaws +10 (agile, finesse), Damage 1d4+3 piercing plus 1d4 persistent fire",,,,,,,,,,"Cloak in Embers Trigger An adjacent ally is targeted by an effect that deals fire damage; Effect The ember fox drapes itself across its ally, granting the ally fire resistance 10 against the incoming attack.",,
CINDER RAT,3,Bestiary,9,"Darkvision, smoke vision",Common,Neutral,Small,Elemental,Fire,,,,,,,,,,,,,,,,,,,,,2,3,2,-4,2,0,10,,,,,,,,,,,,,10,9,,45,18,9,12,6,"bleed, fire, paralyzed, poison, sleep",,cold 5,40 feet,"Melee jaws +10 (finesse), Damage 1d8+4 fire plus 1d4 persistent fire",,,,,,,,,,,,
CORRUPTED WILDFIRE,3,#2-14: Lost in Flames,7,"Darkvision, smoke vision",Uncommon,Chaotic Evil,Medium,Elemental,Fire,,,,,,Abyssal,Ignan,,,,,,,,,,,,,,3,4,4,-2,3,-2,10,,,,,,,,,,,,,,,,51,18,12,9,8,"bleed, fire, paralyzed, poison, sleep",,cold 4,50 feet,"Melee fist +12 (agile, finesse), Damage 1d6+6 fire plus 1d4 persistent fire plus filthy burn","Ranged flaming sap +12 (range increment 30 feet), Damage 1d6+3 fire plus 1d4 persistent fire plus filthy burn",,,,,,,,,,,
FILTH FIRE,4,Bestiary 2,11,"Darkvision, smoke vision",Common,Neutral Evil,Medium,Elemental,Fire,,,,,,Ignan (canet speak any language),,,,,,,,,,,,,,,1,5,4,-2,3,0,13,,9,,,,,,,,,,,,,,70,21,12,13,9,"bleed, fire, paralyzed, poison, sleep",,cold 5,25 feet,"Melee burning lash +13 (finesse), Damage 2d6+3 bludgeoning plus 1d6 persistent fire","Ranged ember ball +13 (fire, range increment 20 feet), Damage 1d6+3 bludgeoning plus 1d6 persistent fire",,,,,,,,,,,
CORRUPTED WILDFIRE,5,#2-14: Lost in Flames,10,"Darkvision, smoke vision",Uncommon,Chaotic Evil,Medium,Elemental,Fire,,,,,,Abyssal,Ignan,,,,,,,,,,,,,,3,4,4,-2,3,-2,13,,,,,,,,,,,,,,,,85,21,15,11,10,"bleed, fire, paralyzed, poison, sleep",,cold 5,50 feet,"Melee fist +15 (agile, finesse), Damage 2d6+6 fire plus 1d4 persistent fire plus filthy burn","Ranged flaming sap +15 (range increment 30 feet), Damage 2d6+3 fire plus 1d4 persistent fire plus filthy burn",,,,,,,,,,,
LIVING WILDFIRE,5,Bestiary,10,"Darkvision, smoke vision",Common,Neutral,Medium,Elemental,Fire,,,,,,Ignan,,,,,,,,,,,,,,,3,4,2,-2,3,0,13,,,,,,,,,,,,,,,,80,22,11,15,10,"bleed, fire, paralyzed, poison, sleep",,cold 5,50 feet,"Melee tendril +15 (agile, finesse, reach 10 feet), Damage 2d6+6 fire plus 2d4 persistent fire","Ranged fire mote +15 (range increment 60 feet), Damage 2d6+3 fire",,,,,,,,,,,
STRIDING FIRE,6,Bestiary 2,14,"Darkvision, smoke vision",Common,Chaotic Neutral,Medium,Elemental,Fire,,,,,,Ignan,,,,,,,,,,,,,,,2,5,3,0,4,1,15,,12,,,,,,,,,,,,,,115,24,11,17,14,"bleed, fire, paralyzed, poison, sleep",,cold 10,50 feet,"Melee fist +17 (agile, finesse), Damage 2d8+5 bludgeoning plus 1d6 persistent fire",,,,,,,,,,,,
SALAMANDER,7,Bestiary,15,Darkvision,Common,Chaotic Evil,Medium,Elemental,Fire,,,,,,Common,Ignan,,,,,,,,,,,,,,4,3,4,2,2,1,12,,17,15,12,,14,,,,,,13,,,,125,26,15,16,13,"bleed, fire, paralyzed, poison, sleep",,cold 10,20 feet,"Melee ranseur +18 (disarm, magical, reach 10 feet), Damage 2d10+7 piercing","Melee tail +17 (agile, reach 10 feet), Damage 1d8+7 bludgeoning plus 1d6 fire and Grab",,,,,,,,,"Attack of OpportunityTrigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,
MAGMA SCORPION,8,Bestiary 2,18,"Darkvision, smoke vision",Common,Neutral,Large,Elemental,Fire,,,,,,,,,,,,,,,,,,,,,6,3,5,-4,4,0,,,18,,,,,,,,,,,,,,155,28,19,14,16,"bleed, fire, paralyzed, poison, sleep",,cold 10,"40 feet, climb 30 feet","Melee pincer +20 (agile, reach 10 feet), Damage 2d6+9 bludgeoning plus 1d6 persistent fire and Grab","Melee tail sting +20 (reach 10 feet), Damage 1d10+9 piercing plus 1d6 persistent fire and magma scorpion venom","Ranged magma spit +17 (fire, range increment 40 feet); Damage 1d6+9 fire plus 1d6 persistent fire",,,,,,,,,,
FIREWYRM,9,Bestiary,16,"Darkvision, smoke vision",Common,Neutral,Huge,Elemental,Fire,,,,,,Ignan,,,,,,,,,,,,,,,5,5,4,-1,3,0,20,,,,,,,,,,,,,,,,165,28,18,20,15,"bleed, fire, paralyzed, poison, sleep",,cold 10,60 feet,"Melee tail +20 (reach 15 feet), Damage 2d8+11 fire plus 2d8 persistent fire","Ranged fire mote +20 (range increment 60 feet), Damage 2d8+6 fire",,,,,,,,,,,
ELEMENTAL INFERNO,11,Bestiary,20,"Darkvision, smoke vision",Common,Neutral,Huge,Elemental,Fire,,,,,,Ignan,,,,,,,,,,,,,,,6,6,5,0,3,0,21,,,,,,,,,,,,,,,,210,31,21,23,19,"bleed, fire, paralyzed, poison, sleep",,cold 15,70 feet,"Melee tendril +24 (reach 15 feet), Damage 2d10+12 fire plus 3d8 persistent fire","Ranged fire mote +24 (range increment 60 feet), Damage 2d10+6 fire",,,,,,,,,,,
MAGMA GUARDIAN,12,Age of Ashes - 04 - Fires of the Haunted City,22,"Darkvision, smoke vision",Common,Neutral,Huge,Elemental,Fire,,,,,,Ignan,,,,,,,,,,,,,,,6,6,5,0,3,0,23,,,,,,,,,,,,,,,,230,33,23,25,21,"bleed, fire, paralyzed, poison, sleep",,cold 15,70 feet,"Melee tendril +26 (reach 15 feet), Damage 2d10+14 fire plus 3d8 persistent fire","Ranged fire mote +26 (range increment 60 feet), Damage 2d10+8 fire",,,,,,,,,,,
AIR MEPHIT,1,Bestiary,3,Darkvision,Common,Neutral,Small,Air,Elemental,,,,,,Auran,,,,,,,,,,,,,,,1,4,0,-2,0,0,7,,,,,,,,,,,,,7,,,12,16,3,19,7,"bleed, paralyzed, poison, sleep",,,"20 feet, fly 40 feet","Melee claw +9 (agile, finesse), Damage 1d6+1 slashing",,,,,,,Arcane Innate Spells DC 17; 2nd blur; 1st gust of wind,,,,,
DUST MEPHIT,1,Bestiary 2,3,Darkvision,Uncommon,Neutral,Small,Air,Earth,Elemental,,,,,Auran,Terran,,,,,,,,,,,,,,1,4,1,-2,0,-1,7,,,,,,,,,,,,,7,,,16,17,6,9,5,"bleed, paralyzed, poison, sleep",,,"20 feet, fly 35 feet","Melee claw +9 (agile, finesse), Damage 1d6+1 slashing",,,,,,,Arcane Innate Spells DC 17; 2nd glitterdust,,,,,
EARTH MEPHIT,1,Bestiary,3,"Darkvision, Tremorsense (imprecise) 30 feet",Common,Neutral,Small,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,3,-1,2,-2,0,-1,,,6,,,,,,,,,,,2,,,20,15,8,4,3,"bleed, paralyzed, poison, sleep",,,"20 feet, burrow 20 feet, fly 15 feet","Melee fist +8, Damage 1d6+3 bludgeoning",,,,,,,Arcane Innate Spells DC 17; 3rd meld into stone; 2nd enlarge (self only),,,,,
FIRE MEPHIT,1,Bestiary,3,"Darkvision, smoke vision",Common,Neutral,Small,Elemental,Fire,,,,,,Ignan,,,,,,,,,,,,,,,0,4,0,-2,0,2,7,,,,7,,,,,,,,,,,,16,17,3,9,7,"bleed, fire, paralyzed, poison, sleep",,cold 3,"20 feet, fly 25 feet","Melee jaws +9 (finesse), Damage 1d6 piercing and 1d4 fire",,,,,,,"Arcane Innate Spells DC 15; Cantrips (1st) daze, light",,,,,
ICE MEPHIT,1,Bestiary 2,3,Darkvision,Uncommon,Neutral,Small,Air,Elemental,Water,,,,,Aquan,Auran,,,,,,,,,,,,,,0,4,0,-2,0,2,7,,,,,,5,,,,,,,,,,18,17,5,9,3,"bleed, cold, paralyzed, poison, sleep",,fire 3,"20 feet, fly 25 feet","Melee claw +9 (agile, finesse), Damage 1d4 slashing and 1d4 cold",,,,,,,"Arcane Innate Spells DC 17, attack +9; Cantrips (1st) chill touch, ray of frost",,,,,
OOZE MEPHIT,1,Bestiary 2,3,Darkvision,Uncommon,Neutral,Small,Amphibious,Earth,Elemental,Water,,,,Aquan,Terran,,,,,,,,,,,,,,3,1,2,-2,0,2,,,6,,,7,,,,,,,,,,,24,14,7,4,3,"bleed, paralyzed, poison, sleep",,,"20 feet, fly 20 feet","Melee fist +8, Damage 1d6+3 bludgeoning",,,,,,,Arcane Innate Spells DC 17; 1st grease,,,,,
STEAM MEPHIT,1,Bestiary 2,3,"Darkvision, steam vision",Uncommon,Neutral,Small,Elemental,Fire,Water,,,,,Aquan,Ignan,,,,,,,,,,,,,,1,2,4,-2,0,0,7,,,,,,6,,,,,,,,,,19,16,9,7,5,"bleed, fire, paralyzed, poison, sleep",,cold 3,"20 feet, fly 25 feet, swim 25 feet","Melee claw +7 (agile, finesse), Damage 1d6+1 slashing",,,,,,,Arcane Innate Spells DC 17; 2nd obscuring mist,,,,,
STEEL MEPHIT,1,#1-09: Star-Crossed Voyages,3,"Darkvision, Tremorsense (imprecise) 30 feet",Common,Neutral,Small,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,4,-2,2,-2,0,-1,,,7,,,,,,,,,,,,,,22,14,9,3,3,"bleed, paralyzed, poison, sleep",,,"20 feet, burrow 20 feet, fly 15 feet","Melee fist +8, Damage 1d6+4 bludgeoning",,,,,,,Arcane Innate Spells DC 17; 3rd meld into stone; 2nd enlarge (self only),,,,,
WATER MEPHIT,1,Bestiary,3,Darkvision,Common,Neutral,Small,Aquatic,Elemental,Water,,,,,Aquan,,,,,,,,,,,,,,,1,3,1,-2,0,0,,,6,,,,,,,,,,,6,,,20,16,7,11,4,"bleed, paralyzed, poison, sleep","acid 3, fire 3",,"20 feet, fly 25 feet, swim 25 feet","Melee claw +8 (finesse), Damage 1d6+1 slashing",,,,,,,"Arcane Innate Spells DC 17, attack +9; 2nd acid arrow",,,,,
GREATER STEEL MEPHIT,4,#1-09: Star-Crossed Voyages,12,"Darkvision, Tremorsense (imprecise) 30 feet",Common,Neutral,Small,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,5,-2,3,-2,2,-1,,,13,,,,,,,,,,,,,,65,21,13,6,10,"bleed, paralyzed, poison, sleep",,,"20 feet, burrow 20 feet, fly 15 feet","Melee fist +13, Damage 2d8+5 bludgeoning",,,,,,,Arcane Innate Spells DC 20; 3rd meld into stone; 2nd enlarge (self only),,,,,
ICICLE SNAKE,2,Bestiary 2,7,Darkvision,Common,Neutral,Small,Cold,Elemental,Water,,,,,,,,,,,,,,,,,,,,1,3,2,-4,1,0,,,7,,,,,,,,,,,7,,,35,18,8,9,5,"bleed, cold, paralyzed, poison, sleep",,fire 5,"25 feet, climb 20 feet","Melee jaws +9 (finesse), Damage 1d6+1 piercing plus 1d6 persistent cold",,,,,,,,,,,,
BRINE SHARK,3,Bestiary,8,Darkvision,Common,Neutral,Medium,Aquatic,Elemental,Water,,,,,,,,,,,,,,,,,,,,3,2,2,-4,1,0,,,10,,,,,,,,,,,11,8,,45,19,9,11,6,"bleed, paralyzed, poison, sleep",fire 5,,"15 feet, swim 50 feet","Melee jaws +11, Damage 1d12+7 piercing plus Grab",,,,,,,,,,,,
MIST STALKER,4,Bestiary 2,13,"Darkvision, mist vision",Common,Neutral,Medium,Amphibious,Elemental,Water,,,,,Aquan,,,,,,,,,,,,,,,4,4,2,1,5,0,,,11,,,,,,,,,,,12,,,58,20,10,12,11,"bleed, paralyzed, poison, sleep",,,"20 feet, climb 20 feet, swim 30 feet","Melee tentacle +14 (finesse, sweep, reach 10 feet), Damage 2d8+4 bludgeoning plus Grab",,,,,,,,,,,,
LIVING WATERFALL,5,Bestiary,10,Darkvision,Common,Neutral,Large,Aquatic,Elemental,Water,,,,,Aquan,,,,,,,,,,,,,,,4,3,3,-2,1,0,,,13,,,,,,,,,,,12,,,90,20,14,12,10,"bleed, paralyzed, poison, sleep",fire 5,,"20 feet, swim 60 feet","Melee wave +15 (reach 10 feet), Damage 2d8+7 bludgeoning plus Push or Pull 5 feet",,,,,,,,,,,,
BLIZZARDBORN,6,Bestiary 2,14,"Darkvision, snow vision",Common,Neutral,Medium,Cold,Elemental,Water,,,,,Aquan,,,,,,,,,,,,,,,5,2,4,0,4,0,,,15,,,,,,,,,,,14,,,105,24,16,12,14,"bleed, cold, paralyzed, poison, sleep",,fire 5,"25 feet, ice burrow 20 feet Speed of 20 feet. It moves at its full burrow Speed, leaving no tunnels or signs of its passing.","Melee ice claw +17 (versatile bludgeoning), Damage 2d6+8 slashing plus 1d6 persistent cold",,,,,,,,,,Shattering Ice Trigger An enemy hits the blizzardborn with an attack that deals physical damage; Effect A portion of the blizzardbornes body shatters into an explosion of razor sharp ice crystals and blinding snow that deals 2d6 piercing damage to opponents in a 5-foot emanation (DC 24 basic Reflex save). Anyone who fails is also blinded for 1 round (or 3 rounds on a critical failure).,,
QUATOID,7,Bestiary,18,Darkvision,Common,Neutral,Small,Aquatic,Elemental,Water,,,,,Aquan,Common,,,,,,,,,,,,,,4,2,0,4,3,1,,,15,,,12,,,,17,,,17,13,,,120,25,13,15,18,"bleed, paralyzed, poison, sleep","bludgeoning 5, fire 5",,"25 feet, swim 25 feet","Melee tentacle +16 (reach 10 feet), Damage 2d12+6 bludgeoning plus Grab",,,,,,,"Primal Innate Spells DC 27, attack +17; 2nd hydraulic push (at will)",,,,,
TIDAL MASTER,9,Bestiary,18,Darkvision,Common,Neutral,Large,Aquatic,Elemental,Water,,,,,Aquan,,,,,,,,,,,,,,,5,5,5,-1,3,0,,,20,,,,,,,,,,,19,,,155,28,18,21,15,"bleed, paralyzed, poison, sleep",fire 10,,"30 feet, swim 80 feet","Melee wave +21 (reach 15 feet), Damage 2d12+11 bludgeoning plus Push or Pull 10 feet",,,,,,,,,,,,
ICEWYRM,10,Bestiary 2,19,Darkvision,Common,Neutral,Huge,Amphibious,Cold,Elemental,Water,,,,Aquan,,,,,,,,,,,,,,,7,7,5,-1,5,3,,,21,,,,,,,,,,,,,,185,30,20,21,17,"bleed, cold, paralyzed, poison, sleep",,fire 10,"25 feet, ice burrow 20 feet, swim 60 feet","Melee jaws +23 (reach 15 feet), Damage 2d12+13 piercing","Melee tail +23 (agile, reach 15 feet), Damage 2d6+13 slashing plus 1d6 persistent cold","Ranged ice shard +23 (range increment 60 feet), Damage 1d6+13 piercing plus 1d6 persistent cold",,,,,,,,,,
ELEMENTAL TSUNAMI,11,Bestiary,22,Darkvision,Common,Neutral,Huge,Aquatic,Elemental,Water,,,,,Aquan,,,,,,,,,,,,,,,6,6,6,0,3,0,,,23,,,,,,,,,,,23,,,195,31,21,22,19,"bleed, paralyzed, poison, sleep",fire 10,,"35 feet, swim 100 feet","Melee wave +24 (reach 20 feet), Damage 2d12+12 bludgeoning plus Push or Pull 10 feet",,,,,,,,,,,,
"ELEMENTAL VESSEL , WATER",16,Agents of Edgewatch - 05 - Belly of the Black Whale,28,,Uncommon,Neutral,Large,Aquatic,Elemental,Water,,,,,Aklo,Aquan,Common,,,,,,,,,,,,,8,8,8,0,0,0,,,32,,,,,,,,,,,32,,,225,40,30,28,22,"bleed, paralyzed, poison, sleep",fire 15,,"35 feet, swim 100 feet","Melee wave +30 (reach 10 feet), Damage 3d12+12 bludgeoning plus Push 10 feet",,,,,,,"Arcane Innate Spells DC 38, attack +30; 8th polar ray; 7th prismatic spray, volcanic eruption; 6th fireball, purple worm sting; 5th marineres curse, wall of ice; 4th dimension door, wall of fire; 3rd earthbind, paralyze, vampiric touch; 2nd dispel magic, obscuring mist, touch of idiocy; 1st hydraulic push, shocking grasp, spider sting",,,,,
"ELEMENTAL VESSEL, WATER",16,Agents of Edgewatch - 05 - Belly of the Black Whale,28,,Uncommon,Neutral,Large,Aquatic,Elemental,Water,,,,,Aklo,Aquan,Common,,,,,,,,,,,,,8,8,8,0,0,0,,,32,,,,,,,,,,,32,,,225,40,30,28,22,"bleed, paralyzed, poison, sleep",fire 15,,"35 feet, swim 100 feet","Melee wave +30 (reach 10 feet), Damage 3d12+12 bludgeoning plus Push 10 feet",,,,,,,"Arcane Innate Spells DC 38, attack +30; 8th polar ray; 7th prismatic spray, volcanic eruption; 6th fireball, heal, purple worm sting; 5th heal, marineres curse, wall of ice; 4th dimension door, heal, wall of fire; 3rd earthbind, paralyze, vampiric touch; 2nd dispel magic, obscuring mist, touch of idiocy; 1st hydraulic push, shocking grasp, spider sting",,,,,
AIR WISP,0,Bestiary 3,6,Darkvision,Common,Neutral,Tiny,Air,Elemental,,,,,,Auran,,,,,,,,,,,,,,,0,3,1,0,2,0,7,,,,,,,,,,,,,7,,,10,18,3,9,4,"bleed, paralyzed, poison, sleep",,,fly 40 feet,"Melee tendril +7 (reach 10 feet), Damage 1d4 bludgeoning",,,,,,,,,,Accord Essence (air) Trigger An ally within 30 feet that benefited from the wispes resonance in the last hour is targeted by an attack; Effect The wisp detonates itself in a small elemental explosion that gives temporary Hit Points equal to half the wispes current Hit Points to allies within 30 feet that have benefited from the wispes resonance in the last hour. These temporary Hit Points last 1 hour.,,
EARTH WISP,0,Bestiary 3,6,"Darkvision, Tremorsense (imprecise) 30 feet (page 306)",Common,Neutral,Tiny,Earth,Elemental,,,,,,Terran,,,,,,,,,,,,,,,2,1,3,0,2,0,,,6,,,,,,,,,,,,,,15,16,7,5,4,"bleed, paralyzed, poison, sleep",bludgeoning 2,,"20 feet, burrow 20 feet","Melee tendril +6 (reach 10 feet), Damage 1d4+2 bludgeoning",,,,,,,,,,Accord Essence (earth) Trigger An ally within 30 feet that benefited from the wispes resonance in the last hour is targeted by an attack; Effect The wisp detonates itself in a small elemental explosion that gives temporary Hit Points equal to half the wispes current Hit Points to allies within 30 feet that have benefited from the wispes resonance in the last hour. These temporary Hit Points last 1 hour.,,
