Name,Type,Level,Traits,Tradition,Deities,Bloodlines,Casting Time,Components,Range,Target,Area,Duration,Saving Throw,Spell Attack,Effect,Critical Success,Success,Failure,Critical Failure,Heightening,Heal,Damage,Counteract,Conditions,Source,Nethys Link
Rouse Skeletons,Spell,3,Necromancy,"arcane,divine,occult",,,Two Actions,"somatic,verbal",60 feet,None,10-foot burst,sustained up to 1 minute,Reflex,FALSE,"Misshapen skeletal forms erupt from a solid surface, such as a stone floor, and fill the burst. The area they fill is difficult terrain. Their grasping claws deal 2d6 slashing damage to creatures on the ground in the area when the skeletons first appear (basic Reflex save). On subsequent rounds, the first time you Sustain the Spell each round, you can move the area of skeletons up to 20 feet within the range of the spell and deal 2d6 slashing damage (basic Reflex save) to each creature in their new area. Damaging or destroying the skeletons is irrelevant, as new bones pull forth from the ground to repair and replace any that are obliterated.",None,None,None,None,Heightened (+2) The damage increases by 1d6,FALSE,TRUE,FALSE,,Secrets of Magic pg. 126,http://2e.aonprd.com/Spells.aspx?ID=988
Safe Passage,Spell,3,Abjuration,"arcane,divine,primal",,,Three Actions,"material,somatic,verbal",touch,None,"10-foot-wide, 10-foot-tall, 60-foot-long section of terrain",sustained up to 1 minute,None,FALSE,"You repel dangers from all around you, making passage through the chosen area safe for a brief amount of time. Anyone passing through the area gains the following benefits against harmful effects of the terrain and environment, including environmental damage, hazardous terrain, and hazards in the area. The spell grants a +2 status bonus to AC and saves against such effects, and resistance 5 to all damage from such effects. Furthermore, the spell prevents anything in the area thats prone to collapse, such as a rickety bridge or an unstable ceiling, from collapsing, except under extreme strain that would collapse a normal structure of its type. Safe passage protects only against harm, not inconvenience, and it doesnt reduce difficult terrain, remove the concealed condition caused by precipitation, or the like, nor does it protect against creatures within the spells area.",None,None,None,None,"Heightened (5th) The granted resistance increases to 10, and the area can be 120 feet long,Heightened (8th) The granted resistance increases to 15, and the area can be 500 feet long",FALSE,TRUE,FALSE,"Concealed,Prone",Advanced Players Guide pg. 224,http://2e.aonprd.com/Spells.aspx?ID=712
Sanctified Ground,Spell,3,"Abjuration,Consecration",divine,,,1 minute,"material,somatic,verbal",None,None,30-foot burst centered on you,24 hours,None,FALSE,"You sanctify the area, sprinkling it with holy water and warding it against your foes. Choose aberrations, celestials, dragons, fiends, monitors, or undead. All creatures in the area gain a +1 status bonus to AC, attack rolls, damage rolls, and saving throws against the chosen creatures.",None,None,None,None,,FALSE,TRUE,FALSE,,Core Rulebook pg. 366,http://2e.aonprd.com/Spells.aspx?ID=265
Sculpt Sound,Spell,3,Illusion,occult,,,Two Actions,"somatic,material",touch,1 creature or object,None,10 minutes,Will,FALSE,"You change the sounds made by a creature or object. Choose how youre altering the sounds when you Cast the Spell; you cant alter it later. You can cause something that didnt create a sound to make sound, alter the voice of a creature, amplify or deaden a sound, or transform one sound into another. A creature who succeeds at a Perception check against your spell DC can determine that the sound was altered by an illusion, including hearing faint sounds if you deadened the sound, but they cant determine the true sound unless they critically succeed at the Perception check. You can Dismiss the spell. Because this spell obscures sound instead of preventing it, using the spell to quiet a creature doesnt prevent that creature from using verbal spell components, though it does prevent most auditory effects that rely on another creature hearing them accurately. An unwilling target can attempt a Will save.",None,The affected sound from the creature isnt altered.,The affected sound from the creature is altered in the way you determine.,"The affected sound from the creature is altered and the target becomes <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=37"">stupefied 2</a> for 1 minute as it struggles with the disorienting effects of its altered sound.","Heightened (5th) You can target up to 6 creatures or 6 objects, altering the sounds of all affected creatures or objects in the same way",FALSE,FALSE,FALSE,,Advanced Players Guide pg. 224,http://2e.aonprd.com/Spells.aspx?ID=714
Searing Light,Spell,3,"Attack,Evocation,Fire,Good,Light","divine,primal",,"angelic,psychopomp",Two Actions,"somatic,verbal",120 feet,1 creature,None,None,None,TRUE,"You shoot a blazing ray of light tinged with holy energy. Make a ranged spell attack. The ray deals 5d6 fire damage. If the target is a fiend or undead, you deal an extra 5d6 good damage. If the light passes through an area of magical darkness or targets a creature affected by magical darkness, searing light attempts to counteract the darkness. If you need to determine whether the light passes through an area of darkness, draw a line between yourself and the spells target.","The target takes double fire damage, as well as double good damage if a fiend or undead.",The target takes full damage.,None,None,"Heightened (+1) The fire damage increases by 2d6, and the good damage against fiends and undead increases by 2d6",FALSE,TRUE,TRUE,,Core Rulebook pg. 367,http://2e.aonprd.com/Spells.aspx?ID=269
Secret Page,Spell,3,"Illusion,Visual","arcane,occult","Irez,Lissala,Thoth",,1 minute,"material,somatic,verbal",touch,1 page up to 3 square feet in size,None,unlimited,None,FALSE,"You change the targets text to different text entirely. If the text is a spellbook or a scroll, you can change it to show a spell you know of secret pages level or lower. The replacement spell cannot be cast or used to prepare a spell. You can also transform the text into some other text you have written or have access to. You can specify a password that allows a creature touching the page to change the text back and forth. You must choose the replacement text and the password, if any, when you Cast the Spell.",None,None,None,None,,FALSE,FALSE,FALSE,,Core Rulebook pg. 367,http://2e.aonprd.com/Spells.aspx?ID=270
Shadow Projectile,Spell,3,"Illusion,Shadow,Visual","arcane,occult",,,Reaction,somatic,None,None,None,None,Will,FALSE,"You create an illusory duplicate of your allys ranged attack to confuse your opponents. You launch an illusory double of your allys projectile or spell at the same target, leaving the enemy unsure which attack to avoid. The target takes 3d8 mental damage, depending on its Will save. Regardless of the result of its save, its temporarily immune to shadow projectile spells for 1 hour.",The creature is unaffected.,"The creature is <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=16"">flat-footed</a> against the triggering attack.",The creature is flat-footed against the triggering attack and takes full damage from your illusory projectile.,"As failure, but double damage.",Heightened (+2) The damage increases by 1d8,FALSE,TRUE,FALSE,,Secrets of Magic pg. 129,http://2e.aonprd.com/Spells.aspx?ID=995
Shift Blame,Spell,3,"Enchantment,Mental","arcane,occult",,,Reaction,verbal,30 feet,the target of the triggering attack or skill check,None,None,Will,FALSE,"You alter the targets memories of the triggering event as they form. You choose another creature (which can be you) with the capacity to make the triggering attack or skill check, and you alter the targets memories to recall the creature you chose as responsible for the triggering attack or skill check. The target must attempt a Will save and is then temporarily immune for 24 hours.Failure You successfully alter the targets memory. It isnt forced to react to the new memories in a particular way, and its likely to question them if they contradict other information it knows or are implausible for the situation.",The target knows you attempted to alter its memories.,"The target doesnt realize you attempted to alter its memories, though it knows you cast a spell.",None,None,,FALSE,FALSE,FALSE,,Secrets of Magic pg. 129,http://2e.aonprd.com/Spells.aspx?ID=997
Shifting Sand,Spell,3,"Earth,Transmutation","arcane,primal","Anubis,Yamatsumi",,Three Actions,"material,somatic,verbal",30 feet,None,a horizontal earthen or sandy surface within a 20-foot burst,sustained up to 1 minute,Reflex,FALSE,"You cause the surface to heave. The area becomes difficult terrain and any tracks in the area are destroyed by the churning ground. Creatures standing in the area take a -1 status penalty to Acrobatics checks to Balance and Tumble Through and Athletics checks to High Jump and Long Jump. The first time each round you Sustain the Spell, you can move the churning area up to 10 feet in any direction. Creatures immobilized by the spell are carried along with the shifting sand in the same direction, if possible; this movement is forced movement. Creatures that enter or begin their turn standing in the shifting sand must attempt a Reflex save.",The creature is unaffected and ignores the area's difficult terrain and penalty to skill checks until the end of its turn.,The creature ignores the area's penalty to skill checks until the end of its turn.,The creature is affected normally by the spell this turn.,"The creature becomes <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=24"">immobilized</a> within the spell's area until it <a style=""text-decoration:underline"" href=""Actions.aspx?ID=79"">Escapes</a>. If the creature was already immobilized by shifting sands, it also falls <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=31"">prone</a>.","Heightened (5th) The status penalty increases to -2 and the spell's range increases to 60 feet,Heightened (7th) The status penalty increases to -3, the spell's range increases to 60 feet, and the spell's area increases to a 30-foot burst,Heightened (9th) The status penalty increases to -4, the spell's range increases to 60 feet, and the spell's area increases to a 40-foot burst",FALSE,FALSE,FALSE,Immobilized,Gods & Magic pg. 110,http://2e.aonprd.com/Spells.aspx?ID=586
Show the Way,Spell,3,"Detection,Divination","divine,primal",,,10 minutes,"material,somatic,verbal",None,you and allies in the area,5-foot emanation;,8 hours,None,FALSE,"You and affected allies gain preternatural knowledge of the path ahead, allowing you to intuit the best way forward and avoid potential obstacles such as difficult or confusing terrain. For the purpose of long-distance overland travel during exploration mode, traveling through difficult terrain reduces you to only three-quarters your travel Speed instead of half, and traveling through greater difficult terrain reduces your travel Speed to only half your travel Speed instead of one-third. Show the way does not prevent you from falling into traps or encountering other artificial obstacles and hazards.",None,None,None,None,"Heightened (6th) For the purpose of long-distance overland travel during exploration mode, traveling through difficult terrain doesn't reduce your travel Speed at all, and traveling through greater difficult terrain reduces your travel Speed to only three-quarters of its normal value instead of one-third",FALSE,FALSE,FALSE,,Gods & Magic pg. 110,http://2e.aonprd.com/Spells.aspx?ID=588
Shrink Item,Spell,3,"Polymorph,Transmutation",arcane,,,10 minutes,"somatic,verbal",touch,1 non-magical object up to 20 cubic feet in volume and up to 80 Bulk,None,1 day,None,FALSE,"You shrink the target to roughly the size of a coin. This reduces it to negligible Bulk. You can Dismiss the spell, and the spell ends if you toss the object onto a solid surface. The object cant be used to attack or cause damage during the process of it returning to normal size. If there isnt room for the object to return to normal size when the spell ends, the spells duration continues until the object is in a location large enough to accommodate its normal size.",None,None,None,None,,FALSE,TRUE,FALSE,,Core Rulebook pg. 369,http://2e.aonprd.com/Spells.aspx?ID=285
Slow,Spell,3,Transmutation,"arcane,occult,primal","Korada,Matravash",demonic,Two Actions,"somatic,verbal",30 feet,1 creature,None,1 minute,Fortitude,FALSE,"You dilate the flow of time around the target, slowing its actions.",The target is unaffected.,The target is slowed 1 for 1 round.,The target is slowed 1 for 1 minute.,The target is slowed 2 for 1 minute.,Heightened (6th) You can target up to 10 creatures,FALSE,FALSE,FALSE,,Core Rulebook pg. 370,http://2e.aonprd.com/Spells.aspx?ID=289
Soothing Blossoms,Spell,3,"Conjuration,Plant","divine,primal",,,Two Actions,"somatic,verbal",30 feet,None,10-foot burst,10 minutes,None,FALSE,"Blossoms grow from the ground in a small area, soothing away afflictions and persistent pains and harm. When any creature in that area rolls a successful save against a poison or disease effect, it gets a critical success instead. The blossoms grant assisted recovery to everyone in the area to end their persistent damage, both when the spell is cast and at the start of each of your turns. Once the duration ends, the flowers lose their magical effect, but a few of them might survive in the area as long as they can naturally. This spell doesnt give a benefit on a save against an affliction unless the stage lasts 10 minutes or less.",None,None,None,None,,FALSE,TRUE,FALSE,Persistent Damage,Secrets of Magic pg. 129,http://2e.aonprd.com/Spells.aspx?ID=999
Stinking Cloud,Spell,3,"Conjuration,Poison","arcane,primal",Gogunta,,Two Actions,"somatic,verbal",120 feet,None,20-foot burst,1 minute,Fortitude,FALSE,You create a cloud of putrid mist in the area. The cloud functions as obscuring mist except it sickens creatures that end their turns within the cloud. (The concealed condition is not a poison effect.)Critical Failure The creature is sickened 2 and slowed 1 until it leaves the cloud.,The creature is unaffected.,The creature is sickened 1.,The creature is sickened 1 and slowed 1 while in the cloud.,None,,FALSE,FALSE,FALSE,"Concealed,Slowed",Core Rulebook pg. 373,http://2e.aonprd.com/Spells.aspx?ID=309
Sudden Recollection,Spell,3,"Uncommon,Enchantment,Mental",occult,,,Two Actions,"somatic,verbal",30 feet,1 creature,None,unlimited,Will,FALSE,"You place a bit of knowledge deep in a creatures subconscious or make a willing creature forget some information until a specific trigger occurs. The target gets a Will saving throw to resist the effect. A willing creature can choose to fail its save.Failure You choose a piece of information the target didnt already know and create a trigger, such as seeing an object, hearing a key phrase, or witnessing an event. As soon as the target experiences the trigger, it receives the information and the spell ends. If the target was willing, you can instead choose a piece of information the target already knew and suppress its memory of that information until it experiences the trigger, after which it recovers the information and the spell ends.",The target is unaffected and realizes you tried to alter its memory.,"The target is unaffected but thinks your spell was something harmless instead of <i>sudden recollection</i>, unless it identifies the spell.",None,None,,FALSE,FALSE,FALSE,,Secrets of Magic pg. 130,http://2e.aonprd.com/Spells.aspx?ID=1003
Threefold Aspect,Spell,3,"Polymorph,Transmutation","occult,primal","Followers of Fate,Lymnieris,Magdh,Ra",,1 minute,"material,somatic,verbal",None,None,None,until the next time you make your daily preparations,None,FALSE,"This spell allows you to change between three versions of yourself of different ages: a maiden (young adult), a mother (adult), or a matriarch (elderly). Choose one when you Cast the Spell. While the spell lasts, you can change the age to any of the three or to your natural age with a single action, which has the concentrate trait. Your form always looks like you regardless of the age, and creatures who know you still recognize you and can tell your age is different. Threefold aspect alters your physical appearance and personality to present an authentic version of yourself at various ages. This grants you a +4 status bonus to Deception checks to pass as the chosen age, and you can add your level as a proficiency bonus to these checks even if youre untrained. Furthermore, unless a creature specifically uses a Seek action or otherwise carefully examines you, it doesnt get a chance to notice that you arent at your true age. You can Dismiss this spell.",None,None,None,None,,FALSE,FALSE,FALSE,,Advanced Players Guide pg. 226,http://2e.aonprd.com/Spells.aspx?ID=723
Time Jump,Spell,3,Transmutation,"arcane,occult",,,Single Action,verbal,None,None,None,None,None,FALSE,"You leap forward a few seconds in time, appearing across the battlefield in the blink of an eye. You gain 2 actions, each of which must be used to Leap, Stand, Step, or Stride. If you have an appropriate Speed, you can add Burrow, Climb, Fly, or Swim to this list. While you take these actions, time pauses. All other creatures are completely unaware of your actions, cant speak, and cant use any actions that would be triggered by your movement. While youre taking these actions, you cant take any other actions, including any that would be triggered by the move actions. Once the actions are complete, time starts again, and to onlookers, you seem to have suddenly teleported across the distance you traveled. Leaping forward through time is disorienting, so if you use time jump again within 1 minute of using the spell, you become stupefied 4 for 1 minute.",None,None,None,None,,FALSE,FALSE,FALSE,Stupefied,Secrets of Magic pg. 136,http://2e.aonprd.com/Spells.aspx?ID=1019
Unseasonable Squall,Spell,3,"Uncommon,Air,Evocation","arcane,primal",,,Two Actions,"somatic,verbal",60 feet,None,20-foot burst,until the start of your next turn,None,FALSE,"You issue a blast of sudden wind that ripples outward from the center of the burst. The wind extinguishes small non-magical fires, disperses fog and mist, scatters objects of light Bulk or less, and pushes unsecured objects of 1 Bulk or less 5 feet away from the spell's origin point. Each Medium or smaller creature in the area when you Cast the Spell or that moves into spell's area must attempt a Fortitude saving throw.Critical Failure The creature is pushed 30 feet away from the center of the burst, is knocked prone, and takes 2d6 bludgeoning damage.",None,The creature is unaffected.,"The creature is knocked <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=31"">prone</a>. If the creature was <a style=""text-decoration:underline"" href=""Actions.aspx?ID=94"">Flying</a>, it gets a critical failure instead.",None,,FALSE,TRUE,FALSE,Prone,Pathfinder #151: The Show Must Go On pg. 79,http://2e.aonprd.com/Spells.aspx?ID=640
Vampiric Touch,Spell,3,"Death,Necromancy,Negative","arcane,divine,occult",,aberrant,Two Actions,"somatic,verbal",touch,1 living creature,None,None,basic Fortitude,FALSE,Your touch leeches the lifeblood out of a target to empower yourself. You deal 6d6 negative damage to the target. You gain temporary Hit Points equal to half the negative damage the target takes (after applying resistances and the like). You lose any remaining temporary Hit Points after 1 minute.,None,None,None,None,Heightened (+1) The damage increases by 2d6,TRUE,TRUE,FALSE,,Core Rulebook pg. 380,http://2e.aonprd.com/Spells.aspx?ID=354
Wall of Thorns,Spell,3,"Conjuration,Plant",primal,"Erastil,Jaidi,Treerazer,Xhamen-Dor,Zon-Kuthon",,Three Actions,"material,somatic,verbal",60 feet,None,None,1 minute,None,FALSE,"Over the course of a minute, you cause a thick wall of thorny brambles to grow from the ground. You create a 5-foot-thick wall of brambles and thorns in a straight line up to 60 feet long and 10 feet high. You must create the wall in an unbroken open space so its edges dont pass through any creatures or objects, or the spell is lost. The wall stands vertically. If you wish, the wall can be of a shorter length or height. Everything on each side of the wall has cover from creatures on the opposite side, and the walls spaces are difficult terrain. For every move action a creature uses to enter at least one of the walls spaces, that creature takes 3d4 piercing damage. Each 5-foot-by-5-foot section of the wall has AC 10, Hardness 10, and 20 Hit Points. Its immune to critical hits and precision damage. A destroyed section can be moved through freely.",None,None,None,None,"Heightened (+1) The Hit Points of each section of the wall increase by 5, and the piercing damage increases by 1d4",FALSE,TRUE,FALSE,Broken,Core Rulebook pg. 383,http://2e.aonprd.com/Spells.aspx?ID=366
Wall of Water,Spell,3,"Conjuration,Water","arcane,primal",,,Three Actions,"material,somatic,verbal",120 feet,None,None,1 minute,None,FALSE,"Raising your hand in the air, you call a massive wave onto the battlefield. The wall stays upright in a straight line that is 60 feet long, 10 feet high, and 5 feet thick. Any non-magical fires within the wall of waters area that are its size or smaller are put out instantly. It also attempts to counteract any magical fires in its area. Both of these effects happen when the spell is cast and whenever a fire enters the walls area. If the wall fails to counteract a given fire, it cant counteract that fire for the duration of the spell. Bludgeoning or slashing projectiles cant pass through the wall, and piercing projectiles have their range increments halved if they pass through the wall. A creature traversing the wall of water needs to Swim through. The rules of aquatic combat apply to creatures traversing the wall of water, targeting creatures within the wall, or passing through the wall. For instance, a bludgeoning or slashing melee attack targeting a creature in the wall would take a -2 circumstance penalty.",None,None,None,None,,FALSE,FALSE,TRUE,,Secrets of Magic pg. 139,http://2e.aonprd.com/Spells.aspx?ID=1028
Wall of Wind,Spell,3,"Air,Evocation","arcane,primal","General Susumu,Horus",,Three Actions,"material,somatic,verbal",120 feet,None,None,1 minute,Fortitude,FALSE,"You create a barrier of gusting winds that hinders anything moving through it. The wall of swirling winds is 5 feet thick, 60 feet long, and 30 feet high. The wall stands vertically, but you can shape its path. Though the wall of wind distorts the air, it does not hamper sight. The wall has the following effects. Ammunition from physical ranged attacks--such as arrows, bolts, sling bullets, and other objects of similar size--cant pass through the wall. Attacks with bigger ranged weapons, such as javelins, take a -2 circumstance penalty to their attack rolls if their paths pass through the wall. Massive ranged weapons and spell effects that dont create physical objects pass through the wall with no penalty. The wall is difficult terrain to creatures attempting to move overland through it. Gases, including creatures in gaseous form, cant pass through the wall. A creature that attempts to fly through the wall using a move action must attempt a Fortitude save.Critical Failure As failure, and the creature is pushed 10 feet away from the wall.",The creature can move through the wall normally this turn.,"The flying creature can move through the wall this turn, but the wall is difficult terrain.","The wall stops the movement of the flying creature, and any remaining movement from its current action is wasted.",None,,FALSE,FALSE,FALSE,,Core Rulebook pg. 383,http://2e.aonprd.com/Spells.aspx?ID=367
Wanderers Guide,Spell,3,Divination,"divine,occult",,,1 minute,"material,somatic,verbal",None,None,None,until your next daily preparations,None,FALSE,"You call upon the beyond to guide your route. When you Cast this Spell, choose a destination; you receive an inspired route to that destination, allowing you and allies who travel overland with you to reduce the movement penalty from difficult terrain by half for the duration, as long as you dont deviate from the inspired route. This doesnt have any effect on movement during encounters. If you use this ability again before the duration is over, this effect ends and is replaced by that of the new route.",None,None,None,None,,FALSE,FALSE,FALSE,,Core Rulebook pg. 383,http://2e.aonprd.com/Spells.aspx?ID=368
Warding Aggression,Spell,3,Abjuration,"arcane,divine,occult",,,Two Actions,"somatic,verbal",None,None,None,up to 1 minute,None,FALSE,"You channel a magical ward through your attack and attempt to plant it on a foe. This ward increases your defenses against that foe, as long as you keep attacking that foe to maintain it. Make a melee Strike with a weapon or unarmed attack against a foe. In addition to the normal effects of the Strike, it has the effects below. Warding aggression ends if the foe you attacked dies or at the end of any turn in which you didnt hit that foe with a melee Strike.Critical Failure You gain no additional effect.",You gain a +3 status bonus to AC against the foe for 1 round and a +2 status bonus to AC against the foe for the remaining duration.,You gain a +2 status bonus to AC against the foe.,You gain a +1 status bonus to AC against the foe.,None,,FALSE,FALSE,FALSE,,Secrets of Magic pg. 140,http://2e.aonprd.com/Spells.aspx?ID=1029
Web of Eyes,Spell,3,"Divination,Scrying","arcane,divine,occult,primal",,,Two Actions,"somatic,verbal",30 feet,up to 5 willing creatures,None,10 minutes,None,FALSE,"You place an invisible scrying sensor on each target just above their eyes. Each sensor looks where that target looks, and all the targets can link their vision briefly to help notice things one target sees but the others might not. Each target can use an action, which has the concentrate trait, to share what it sees with any number of other targets until the start of its next turn. Only one creature can share its vision at a time, so if another target takes this action, the effect ends for any target that was previously sharing its vision. This improves how well the recipients can perceive anything the sharing creature is looking at. For instance, if a creature is undetected to a recipient but observed by the sharing creature, the creature becomes observed by the recipient as well. Typically, the creature is seen as a glowing outline superimposed on its position. This might allow the recipient to target a creature it couldnt otherwise; however, cover and line of effect still might prevent or impede targeting and attacks. This can only improve the recipients vision, not reduce it; for example, if an enemy was undetected by the sharing creature and observed by a recipient, the recipient would still clearly observe the enemy. Once the vision sharing stops, the benefit ends. Whether a creature is hidden or undetected is still based on the last information a target had before the vision sharing ended. For example, that means if a creature is behind a wall but hasnt moved, its still hidden rather than undetected by a recipient that witnessed its current position.",None,None,None,None,,FALSE,FALSE,FALSE,"Hidden,Observed,Undetected,Invisible",Secrets of Magic pg. 140,http://2e.aonprd.com/Spells.aspx?ID=1032
Whirling Scarves,Spell,3,"Abjuration,Force","divine,occult",,,Two Actions,"somatic,verbal",None,None,None,1 minute,None,FALSE,"You surround yourself in a vortex of whirling colorful scarves of force that obfuscate you and disorient your foes. You gain the benefits of the concealed condition, but only against ranged and melee attacks. When a melee attack fails to hit you because of the flat check for the concealed condition, the scarves snag the weapon or unarmed attack, and the creature takes a -1 circumstance penalty to further attacks with that weapon or unarmed attack until the end of its turn (or the end of its next turn, if it wasn't the creature's turn). The timing of the scarves' movement is harder to predict for ranged attackers, so the flat check for the concealed condition against ranged attacks increases from DC 5 to DC 6. You can Dismiss this spell.",None,None,None,None,"Heightened (+2) The circumstance penalty to further attacks with a melee weapon or unarmed attack the scarves snag increases by 1, The DC of the flat check for the concealed condition against ranged attacks increases by 1",FALSE,FALSE,FALSE,Concealed,Gods & Magic pg. 111,http://2e.aonprd.com/Spells.aspx?ID=593
Zone of Truth,Spell,3,"Uncommon,Enchantment,Mental","divine,occult",,,Two Actions,"somatic,verbal",30 feet,None,20-foot burst,10 minutes,Will,FALSE,"You designate an area in which creatures are compelled to speak only truth. Creatures within or entering the area have difficulty lying. Each potentially affected creature must attempt a Will save when the spell is cast or when the creature first enters the area. It uses the results of this initial save if it leaves and reenters the area. Affected creatures are aware of this enchantment; therefore, they can avoid answering questions to which they would normally respond with a lie, or they can be evasive as long as they remain within the boundaries of the truth.Critical Failure The target cant speak any deliberate and intentional lies and takes a -4 status penalty to Deception checks.",The target is unaffected.,The target takes a -2 status penalty to Deception checks.,"The target cant speak any deliberate and intentional lies, and it takes a -2 status penalty to Deception checks.",None,,FALSE,FALSE,FALSE,,Core Rulebook pg. 385,http://2e.aonprd.com/Spells.aspx?ID=379
Aerial Form,Spell,4,"Polymorph,Transmutation","arcane,primal","Andoletta,Horus,Mother Vulture,Tanagaar",,Two Actions,"somatic,verbal",None,None,None,1 minute,None,FALSE,"You harness your mastery of primal forces to reshape your body into a Medium flying animal battle form. When you cast this spell, choose bat, bird, pterosaur, or wasp. You can decide the specific type of animal (such as an owl or eagle for bird), but this has no effect on the forms Size or statistics. While in this form, you gain the animal trait. You can Dismiss the spell. You gain the following statistics and abilities regardless of which battle form you choose: AC = 18 + your level. Ignore your armors check penalty and Speed reduction. 5 temporary Hit Points. Low-light vision. One or more unarmed melee attacks specific to the battle form you choose, which are the only attacks you can use. Youre trained with them. Your attack modifier is +16, and your damage bonus is +5. These attacks are Dexterity based (for the purpose of the clumsy condition, for example). If your attack modifier for Dexterity-based unarmed attacks is higher, you can use it instead. Acrobatics modifier of +16, unless your own modifier is higher. You also gain specific abilities based on the form you choose:Bat Speed 20 feet, fly Speed 30 feet; precise echolocation 40 feet; Melee fangs, Damage 2d8 piercing; Melee wing (agile), Damage 2d6 bludgeoning.Bird Speed 10 feet, fly Speed 50 feet; Melee beak, Damage 2d8 piercing; Melee talon (agile), Damage 1d10 slashing.Pterosaur Speed 10 feet, fly Speed 40 feet; imprecise scent 30 feet; Melee beak, Damage 3d6 piercing.Wasp Speed 20 feet, fly Speed 40 feet; Melee stinger, Damage 1d8 piercing plus 1d6 persistent poison.",None,None,None,None,"Heightened (5th) Your battle form is Large and your fly Speed gains a +10-foot status bonus, You must have enough space to expand into or the spell is lost, You instead gain 10 temporary HP, attack modifier +18, damage bonus +8, and Acrobatics +20,Heightened (6th) Your battle form is Huge, your fly Speed gains a +15-foot status bonus, and your attacks have 10-foot reach, You must have enough space to expand into or the spell is lost, You instead gain AC = 21 + your level, 15 temporary HP, attack modifier +21, damage bonus +4 and double damage dice (including persistent damage), and Acrobatics +23",TRUE,TRUE,FALSE,Clumsy,Core Rulebook pg. 316,http://2e.aonprd.com/Spells.aspx?ID=4
Air Walk,Spell,4,"Air,Transmutation","divine,primal",,,Two Actions,"somatic,verbal",touch,1 creature,None,5 minutes,None,FALSE,The target can walk on air as if it were solid ground. It can ascend and descend in this way at a maximum of a 45-degree angle.,None,None,None,None,,FALSE,FALSE,FALSE,,Core Rulebook pg. 317,http://2e.aonprd.com/Spells.aspx?ID=6
Anathematic Reprisal,Spell,4,"Enchantment,Mental",divine,,,Reaction,"somatic,verbal",30 feet,the triggering creature,None,None,Will,FALSE,"You punish a creature that transgresses against your deity, drawing upon the anguish you feel upon seeing one of your deitys anathema committed. You can cast this spell only when a creature actively commits a unique act of anathema. For example, if creating undead were anathema to your deity, you could use anathematic reprisal on a necromancer who had just created undead in front of you, but not on an undead creature just for existing. You deal 4d6 mental damage to the target, but a basic Will save can reduce this damage. If it fails, it is also stupefied 1 for 1 round. The creature is then temporarily immune for 1 minute.",None,None,None,None,Heightened (+1) The damage increases by 1d6,FALSE,TRUE,FALSE,Stupefied,Core Rulebook pg. 317,http://2e.aonprd.com/Spells.aspx?ID=9
Aromatic Lure,Spell,4,"Rare,Emotion,Enchantment,Incapacitation,Mental","arcane,occult",,,Two Actions,"somatic,verbal",60 feet,1 creature,None,varies,Will,FALSE,"You override a targets olfactory senses, luring them to a specific location through tantalizing false scents. Select a single square within range that is not hazardous or occupied by a creature. The target is drawn to the selected location, becoming euphoric upon arrival. The target must attempt a Will save.",The target is unaffected.,"The target is distracted by the tantalizing scents, becoming <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=37"">stupefied 1</a> for 1 round.","The target is stupefied 2 and moves toward the selected location via the most direct route possible for 1 round, bypassing any obvious hazards and enemies in the way.","The target is stupefied 4 and moves to the selected location via the most direct route possible for 1 round, bypassing any obvious hazards and enemies in the way. If the creature reaches the destination, it must remain in that location for 1d4 rounds but can otherwise act normally.","Heightened (+2) You target 1 additional creature, selecting a different square within range as their destination",FALSE,FALSE,FALSE,,Legends pg. 37,http://2e.aonprd.com/Spells.aspx?ID=812
Bestial Curse,Spell,4,"Curse,Polymorph,Transmutation","arcane,occult,primal",,,Two Actions,"somatic,verbal",touch,1 living humanoid,None,varies,Fortitude,FALSE,"You tap into the targets inner being and curse it to become a bestial version of itself. The effect is based on its Fortitude save.Critical Failure As failure, but the duration is unlimited.",The target is unaffected.,"The targets body gains minor bestial features. Its insides churn as they partially transform, causing it to be <a style=""text-decoration:underline"" href=""Conditions.aspx?ID=3"">clumsy 1</a> for 1 round. When it recovers from the clumsy condition, its features revert to normal and the spell ends.","The target transforms into a bestial form for 1 hour. The target becomes clumsy 1 and gains weakness 1 to silver. It gains a claw, hoof, horn, or jaws Strike (your choice) that uses the targets unarmed Strike statistics except that the damage type changes to bludgeoning, piercing, or slashing, as appropriate. Whenever the target attempts to use any <a style=""text-decoration:underline"" href=""Traits.aspx?ID=104"">manipulate</a> action, it must succeed at a DC 5 flat check or the action is lost.",None,,FALSE,FALSE,FALSE,,Advanced Players Guide pg. 215,http://2e.aonprd.com/Spells.aspx?ID=670
